ts_event,publisher_id,product_id,open,high,low,close,volume
1649635200000000000,1,2895,14313000000000,14313000000000,13974250000000,13983250000000,561949
1649721600000000000,1,3403,4406250000000,4466750000000,4375500000000,4406250000000,1711036
1649721600000000000,1,2895,13982250000000,14284250000000,13881250000000,13996750000000,701871
1649808000000000000,1,3403,4406000000000,4449500000000,4384000000000,4438750000000,1205684
1649808000000000000,1,2895,13996250000000,14266500000000,13921000000000,14215000000000,520575
1649894400000000000,1,3403,4439000000000,4455750000000,4385000000000,4389000000000,1317441
1649894400000000000,1,2895,14217250000000,14296250000000,13876500000000,13892250000000,533566
1650153600000000000,1,3403,4390000000000,4390000000000,4356500000000,4357500000000,31453
1650153600000000000,1,2895,13892000000000,13903750000000,13729500000000,13735750000000,17635
1650240000000000000,1,3403,4357750000000,4411000000000,4355500000000,4410750000000,1102334
1650240000000000000,1,2895,13736750000000,14019000000000,13732500000000,14016500000000,479050
1650326400000000000,1,3403,4410750000000,4467000000000,4371750000000,4443250000000,1429273
1650326400000000000,1,2895,14016500000000,14242000000000,13828000000000,14079000000000,551759
1650412800000000000,1,3403,4443250000000,4484250000000,4432750000000,4471000000000,1385254
1650412800000000000,1,2895,14079000000000,14298000000000,13956500000000,14083500000000,597314
1650499200000000000,1,3403,4470750000000,4509000000000,4376500000000,4377750000000,1655675
1650499200000000000,1,2895,14083000000000,14283000000000,13667500000000,13681750000000,681953
1650585600000000000,1,3403,4378000000000,4393250000000,4247500000000,4251250000000,1940225
1650585600000000000,1,2895,13682750000000,13781000000000,13297000000000,13315500000000,714763
1650758400000000000,1,3403,4259000000000,4267250000000,4249500000000,4258500000000,31599
1650758400000000000,1,2895,13334250000000,13360000000000,13289250000000,13327500000000,16408
1650844800000000000,1,3403,4258250000000,4296500000000,4195250000000,4290750000000,2203216
1650844800000000000,1,2895,13328000000000,13549750000000,13184000000000,13524500000000,730437
1650931200000000000,1,3403,4290500000000,4303500000000,4136750000000,4173250000000,1981449
1650931200000000000,1,2895,13524000000000,13583750000000,12801500000000,12996750000000,771360
1651017600000000000,1,3403,4173750000000,4236250000000,4157000000000,4212750000000,1957242
1651017600000000000,1,2895,12997250000000,13255250000000,12930250000000,13172250000000,787094
1651104000000000000,1,3403,4212750000000,4303500000000,4182500000000,4245500000000,1755758
1651104000000000000,1,2895,13173750000000,13542000000000,13033000000000,13248500000000,751351
1651190400000000000,1,3403,4245750000000,4279750000000,4118750000000,4137000000000,2002682
1651190400000000000,1,2895,13246500000000,13433000000000,12831750000000,12890500000000,699545
1651363200000000000,1,3403,4144000000000,4147500000000,4116750000000,4132000000000,43198
1651363200000000000,1,2895,12892250000000,12924750000000,12806000000000,12882000000000,23087
1651449600000000000,1,3403,4131750000000,4165750000000,4056000000000,4148500000000,2225916
1651449600000000000,1,2895,12880500000000,13084500000000,12709750000000,13056250000000,737128
1651536000000000000,1,3403,4148250000000,4195750000000,4129000000000,4176250000000,1631526
1651536000000000000,1,2895,13056250000000,13183750000000,12968500000000,13120000000000,654549
1651622400000000000,1,3403,4176000000000,4303000000000,4142750000000,4287500000000,1724786
1651622400000000000,1,2895,13118500000000,13555250000000,12883000000000,13512000000000,698130
1651708800000000000,1,3403,4287750000000,4300750000000,4099250000000,4147750000000,2320602
1651708800000000000,1,2895,13512250000000,13548000000000,12705250000000,12884500000000,864130
